MPID,weekStartDate,shares
UBSA,2020-05-18,36010782
INCR,2020-05-18,32840643
SGMT,2020-05-18,31954098
JPMX,2020-05-18,20287710
MSPL,2020-05-18,19731400
MLIX,2020-05-18,16370020
EBXL,2020-05-18,13635285
LATS,2020-05-18,10838164
BIDS,2020-05-18,7861305
KCGM,2020-05-18,7701787
MSTX,2020-05-18,7164500
XSTM,2020-05-18,5609693
ITGP,2020-05-18,3772402
PURE,2020-05-18,3733466
JPBX,2020-05-18,3726309
IATS,2020-05-18,3661321
MSRP,2020-05-18,3383669
LQNA,2020-05-18,2669200
ICBX,2020-05-18,2334361
BLKX,2020-05-18,2199790
ONEC,2020-05-18,2010081
CGXS,2020-05-18,1577751
BNPX,2020-05-18,1335515
CODA,2020-05-18,560306
BLUE,2020-05-18,510577
LQNT,2020-05-18,340900
LMNX,2020-05-18,147814
STFX,2020-05-18,7425
IEOS,2020-05-18,1649
UBSA,2020-05-25,36010782
INCR,2020-05-25,32840643
SGMT,2020-05-25,31954098
JPMX,2020-05-25,20287710
MSPL,2020-05-25,19731400
MLIX,2020-05-25,16370020
EBXL,2020-05-25,13635285
LATS,2020-05-25,10838164
BIDS,2020-05-25,7861305
KCGM,2020-05-25,7701787
MSTX,2020-05-25,7164500
XSTM,2020-05-25,5609693
ITGP,2020-05-25,3772402
PURE,2020-05-25,3733466
JPBX,2020-05-25,3726309
IATS,2020-05-25,3661321
MSRP,2020-05-25,3383669
LQNA,2020-05-25,2669200
ICBX,2020-05-25,2334361
BLKX,2020-05-25,2199790
ONEC,2020-05-25,2010081
CGXS,2020-05-25,1577751
BNPX,2020-05-25,1335515
CODA,2020-05-25,560306
BLUE,2020-05-25,510577
LQNT,2020-05-25,340900
LMNX,2020-05-25,147814
STFX,2020-05-25,7425
IEOS,2020-05-25,1649
UBSA,2020-06-01,36010782
INCR,2020-06-01,32840643
SGMT,2020-06-01,31954098
JPMX,2020-06-01,20287710
MSPL,2020-06-01,19731400
MLIX,2020-06-01,16370020
EBXL,2020-06-01,13635285
LATS,2020-06-01,10838164
BIDS,2020-06-01,7861305
KCGM,2020-06-01,7701787
MSTX,2020-06-01,7164500
XSTM,2020-06-01,5609693
ITGP,2020-06-01,3772402
PURE,2020-06-01,3733466
JPBX,2020-06-01,3726309
IATS,2020-06-01,3661321
MSRP,2020-06-01,3383669
LQNA,2020-06-01,2669200
ICBX,2020-06-01,2334361
BLKX,2020-06-01,2199790
ONEC,2020-06-01,2010081
CGXS,2020-06-01,1577751
BNPX,2020-06-01,1335515
CODA,2020-06-01,560306
BLUE,2020-06-01,510577
LQNT,2020-06-01,340900
LMNX,2020-06-01,147814
STFX,2020-06-01,7425
IEOS,2020-06-01,1649
UBSA,2020-06-08,36010782
INCR,2020-06-08,32840643
SGMT,2020-06-08,31954098
JPMX,2020-06-08,20287710
MSPL,2020-06-08,19731400
MLIX,2020-06-08,16370020
EBXL,2020-06-08,13635285
LATS,2020-06-08,10838164
BIDS,2020-06-08,7861305
KCGM,2020-06-08,7701787
MSTX,2020-06-08,7164500
XSTM,2020-06-08,5609693
ITGP,2020-06-08,3772402
PURE,2020-06-08,3733466
JPBX,2020-06-08,3726309
IATS,2020-06-08,3661321
MSRP,2020-06-08,3383669
LQNA,2020-06-08,2669200
ICBX,2020-06-08,2334361
BLKX,2020-06-08,2199790
ONEC,2020-06-08,2010081
CGXS,2020-06-08,1577751
BNPX,2020-06-08,1335515
CODA,2020-06-08,560306
BLUE,2020-06-08,510577
LQNT,2020-06-08,340900
LMNX,2020-06-08,147814
STFX,2020-06-08,7425
IEOS,2020-06-08,1649
UBSA,2020-06-15,36010782
INCR,2020-06-15,32840643
SGMT,2020-06-15,31954098
JPMX,2020-06-15,20287710
MSPL,2020-06-15,19731400
MLIX,2020-06-15,16370020
EBXL,2020-06-15,13635285
LATS,2020-06-15,10838164
BIDS,2020-06-15,7861305
KCGM,2020-06-15,7701787
MSTX,2020-06-15,7164500
XSTM,2020-06-15,5609693
ITGP,2020-06-15,3772402
PURE,2020-06-15,3733466
JPBX,2020-06-15,3726309
IATS,2020-06-15,3661321
MSRP,2020-06-15,3383669
LQNA,2020-06-15,2669200
ICBX,2020-06-15,2334361
BLKX,2020-06-15,2199790
ONEC,2020-06-15,2010081
CGXS,2020-06-15,1577751
BNPX,2020-06-15,1335515
CODA,2020-06-15,560306
BLUE,2020-06-15,510577
LQNT,2020-06-15,340900
LMNX,2020-06-15,147814
STFX,2020-06-15,7425
IEOS,2020-06-15,1649
UBSA,2020-06-22,36010782
INCR,2020-06-22,32840643
SGMT,2020-06-22,31954098
JPMX,2020-06-22,20287710
MSPL,2020-06-22,19731400
MLIX,2020-06-22,16370020
EBXL,2020-06-22,13635285
LATS,2020-06-22,10838164
BIDS,2020-06-22,7861305
KCGM,2020-06-22,7701787
MSTX,2020-06-22,7164500
XSTM,2020-06-22,5609693
ITGP,2020-06-22,3772402
PURE,2020-06-22,3733466
JPBX,2020-06-22,3726309
IATS,2020-06-22,3661321
MSRP,2020-06-22,3383669
LQNA,2020-06-22,2669200
ICBX,2020-06-22,2334361
BLKX,2020-06-22,2199790
ONEC,2020-06-22,2010081
CGXS,2020-06-22,1577751
BNPX,2020-06-22,1335515
CODA,2020-06-22,560306
BLUE,2020-06-22,510577
LQNT,2020-06-22,340900
LMNX,2020-06-22,147814
STFX,2020-06-22,7425
IEOS,2020-06-22,1649
UBSA,2020-06-29,36010782
INCR,2020-06-29,32840643
SGMT,2020-06-29,31954098
JPMX,2020-06-29,20287710
MSPL,2020-06-29,19731400
MLIX,2020-06-29,16370020
EBXL,2020-06-29,13635285
LATS,2020-06-29,10838164
BIDS,2020-06-29,7861305
KCGM,2020-06-29,7701787
MSTX,2020-06-29,7164500
XSTM,2020-06-29,5609693
ITGP,2020-06-29,3772402
PURE,2020-06-29,3733466
JPBX,2020-06-29,3726309
IATS,2020-06-29,3661321
MSRP,2020-06-29,3383669
LQNA,2020-06-29,2669200
ICBX,2020-06-29,2334361
BLKX,2020-06-29,2199790
ONEC,2020-06-29,2010081
CGXS,2020-06-29,1577751
BNPX,2020-06-29,1335515
CODA,2020-06-29,560306
BLUE,2020-06-29,510577
LQNT,2020-06-29,340900
LMNX,2020-06-29,147814
STFX,2020-06-29,7425
IEOS,2020-06-29,1649
UBSA,2020-07-06,36010782
INCR,2020-07-06,32840643
SGMT,2020-07-06,31954098
JPMX,2020-07-06,20287710
MSPL,2020-07-06,19731400
MLIX,2020-07-06,16370020
EBXL,2020-07-06,13635285
LATS,2020-07-06,10838164
BIDS,2020-07-06,7861305
KCGM,2020-07-06,7701787
MSTX,2020-07-06,7164500
XSTM,2020-07-06,5609693
ITGP,2020-07-06,3772402
PURE,2020-07-06,3733466
JPBX,2020-07-06,3726309
IATS,2020-07-06,3661321
MSRP,2020-07-06,3383669
LQNA,2020-07-06,2669200
ICBX,2020-07-06,2334361
BLKX,2020-07-06,2199790
ONEC,2020-07-06,2010081
CGXS,2020-07-06,1577751
BNPX,2020-07-06,1335515
CODA,2020-07-06,560306
BLUE,2020-07-06,510577
LQNT,2020-07-06,340900
LMNX,2020-07-06,147814
STFX,2020-07-06,7425
IEOS,2020-07-06,1649
UBSA,2020-07-13,36010782
INCR,2020-07-13,32840643
SGMT,2020-07-13,31954098
JPMX,2020-07-13,20287710
MSPL,2020-07-13,19731400
MLIX,2020-07-13,16370020
EBXL,2020-07-13,13635285
LATS,2020-07-13,10838164
BIDS,2020-07-13,7861305
KCGM,2020-07-13,7701787
MSTX,2020-07-13,7164500
XSTM,2020-07-13,5609693
ITGP,2020-07-13,3772402
PURE,2020-07-13,3733466
JPBX,2020-07-13,3726309
IATS,2020-07-13,3661321
MSRP,2020-07-13,3383669
LQNA,2020-07-13,2669200
ICBX,2020-07-13,2334361
BLKX,2020-07-13,2199790
ONEC,2020-07-13,2010081
CGXS,2020-07-13,1577751
BNPX,2020-07-13,1335515
CODA,2020-07-13,560306
BLUE,2020-07-13,510577
LQNT,2020-07-13,340900
LMNX,2020-07-13,147814
STFX,2020-07-13,7425
IEOS,2020-07-13,1649
UBSA,2020-07-20,36010782
INCR,2020-07-20,32840643
SGMT,2020-07-20,31954098
JPMX,2020-07-20,20287710
MSPL,2020-07-20,19731400
MLIX,2020-07-20,16370020
EBXL,2020-07-20,13635285
LATS,2020-07-20,10838164
BIDS,2020-07-20,7861305
KCGM,2020-07-20,7701787
MSTX,2020-07-20,7164500
XSTM,2020-07-20,5609693
ITGP,2020-07-20,3772402
PURE,2020-07-20,3733466
JPBX,2020-07-20,3726309
IATS,2020-07-20,3661321
MSRP,2020-07-20,3383669
LQNA,2020-07-20,2669200
ICBX,2020-07-20,2334361
BLKX,2020-07-20,2199790
ONEC,2020-07-20,2010081
CGXS,2020-07-20,1577751
BNPX,2020-07-20,1335515
CODA,2020-07-20,560306
BLUE,2020-07-20,510577
LQNT,2020-07-20,340900
LMNX,2020-07-20,147814
STFX,2020-07-20,7425
IEOS,2020-07-20,1649
UBSA,2020-07-27,36010782
INCR,2020-07-27,32840643
SGMT,2020-07-27,31954098
JPMX,2020-07-27,20287710
MSPL,2020-07-27,19731400
MLIX,2020-07-27,16370020
EBXL,2020-07-27,13635285
LATS,2020-07-27,10838164
BIDS,2020-07-27,7861305
KCGM,2020-07-27,7701787
MSTX,2020-07-27,7164500
XSTM,2020-07-27,5609693
ITGP,2020-07-27,3772402
PURE,2020-07-27,3733466
JPBX,2020-07-27,3726309
IATS,2020-07-27,3661321
MSRP,2020-07-27,3383669
LQNA,2020-07-27,2669200
ICBX,2020-07-27,2334361
BLKX,2020-07-27,2199790
ONEC,2020-07-27,2010081
CGXS,2020-07-27,1577751
BNPX,2020-07-27,1335515
CODA,2020-07-27,560306
BLUE,2020-07-27,510577
LQNT,2020-07-27,340900
LMNX,2020-07-27,147814
STFX,2020-07-27,7425
IEOS,2020-07-27,1649
UBSA,2020-08-03,36010782
INCR,2020-08-03,32840643
SGMT,2020-08-03,31954098
JPMX,2020-08-03,20287710
MSPL,2020-08-03,19731400
MLIX,2020-08-03,16370020
EBXL,2020-08-03,13635285
LATS,2020-08-03,10838164
BIDS,2020-08-03,7861305
KCGM,2020-08-03,7701787
MSTX,2020-08-03,7164500
XSTM,2020-08-03,5609693
ITGP,2020-08-03,3772402
PURE,2020-08-03,3733466
JPBX,2020-08-03,3726309
IATS,2020-08-03,3661321
MSRP,2020-08-03,3383669
LQNA,2020-08-03,2669200
ICBX,2020-08-03,2334361
BLKX,2020-08-03,2199790
ONEC,2020-08-03,2010081
CGXS,2020-08-03,1577751
BNPX,2020-08-03,1335515
CODA,2020-08-03,560306
BLUE,2020-08-03,510577
LQNT,2020-08-03,340900
LMNX,2020-08-03,147814
STFX,2020-08-03,7425
IEOS,2020-08-03,1649
UBSA,2020-08-10,36010782
INCR,2020-08-10,32840643
SGMT,2020-08-10,31954098
JPMX,2020-08-10,20287710
MSPL,2020-08-10,19731400
MLIX,2020-08-10,16370020
EBXL,2020-08-10,13635285
LATS,2020-08-10,10838164
BIDS,2020-08-10,7861305
KCGM,2020-08-10,7701787
MSTX,2020-08-10,7164500
XSTM,2020-08-10,5609693
ITGP,2020-08-10,3772402
PURE,2020-08-10,3733466
JPBX,2020-08-10,3726309
IATS,2020-08-10,3661321
MSRP,2020-08-10,3383669
LQNA,2020-08-10,2669200
ICBX,2020-08-10,2334361
BLKX,2020-08-10,2199790
ONEC,2020-08-10,2010081
CGXS,2020-08-10,1577751
BNPX,2020-08-10,1335515
CODA,2020-08-10,560306
BLUE,2020-08-10,510577
LQNT,2020-08-10,340900
LMNX,2020-08-10,147814
STFX,2020-08-10,7425
IEOS,2020-08-10,1649
UBSA,2020-08-17,36010782
INCR,2020-08-17,32840643
SGMT,2020-08-17,31954098
JPMX,2020-08-17,20287710
MSPL,2020-08-17,19731400
MLIX,2020-08-17,16370020
EBXL,2020-08-17,13635285
LATS,2020-08-17,10838164
BIDS,2020-08-17,7861305
KCGM,2020-08-17,7701787
MSTX,2020-08-17,7164500
XSTM,2020-08-17,5609693
ITGP,2020-08-17,3772402
PURE,2020-08-17,3733466
JPBX,2020-08-17,3726309
IATS,2020-08-17,3661321
MSRP,2020-08-17,3383669
LQNA,2020-08-17,2669200
ICBX,2020-08-17,2334361
BLKX,2020-08-17,2199790
ONEC,2020-08-17,2010081
CGXS,2020-08-17,1577751
BNPX,2020-08-17,1335515
CODA,2020-08-17,560306
BLUE,2020-08-17,510577
LQNT,2020-08-17,340900
LMNX,2020-08-17,147814
STFX,2020-08-17,7425
IEOS,2020-08-17,1649
UBSA,2020-08-24,36010782
INCR,2020-08-24,32840643
SGMT,2020-08-24,31954098
JPMX,2020-08-24,20287710
MSPL,2020-08-24,19731400
MLIX,2020-08-24,16370020
EBXL,2020-08-24,13635285
LATS,2020-08-24,10838164
BIDS,2020-08-24,7861305
KCGM,2020-08-24,7701787
MSTX,2020-08-24,7164500
XSTM,2020-08-24,5609693
ITGP,2020-08-24,3772402
PURE,2020-08-24,3733466
JPBX,2020-08-24,3726309
IATS,2020-08-24,3661321
MSRP,2020-08-24,3383669
LQNA,2020-08-24,2669200
ICBX,2020-08-24,2334361
BLKX,2020-08-24,2199790
ONEC,2020-08-24,2010081
CGXS,2020-08-24,1577751
BNPX,2020-08-24,1335515
CODA,2020-08-24,560306
BLUE,2020-08-24,510577
LQNT,2020-08-24,340900
LMNX,2020-08-24,147814
STFX,2020-08-24,7425
IEOS,2020-08-24,1649
UBSA,2020-08-31,36010782
INCR,2020-08-31,32840643
SGMT,2020-08-31,31954098
JPMX,2020-08-31,20287710
MSPL,2020-08-31,19731400
MLIX,2020-08-31,16370020
EBXL,2020-08-31,13635285
LATS,2020-08-31,10838164
BIDS,2020-08-31,7861305
KCGM,2020-08-31,7701787
MSTX,2020-08-31,7164500
XSTM,2020-08-31,5609693
ITGP,2020-08-31,3772402
PURE,2020-08-31,3733466
JPBX,2020-08-31,3726309
IATS,2020-08-31,3661321
MSRP,2020-08-31,3383669
LQNA,2020-08-31,2669200
ICBX,2020-08-31,2334361
BLKX,2020-08-31,2199790
ONEC,2020-08-31,2010081
CGXS,2020-08-31,1577751
BNPX,2020-08-31,1335515
CODA,2020-08-31,560306
BLUE,2020-08-31,510577
LQNT,2020-08-31,340900
LMNX,2020-08-31,147814
STFX,2020-08-31,7425
IEOS,2020-08-31,1649
UBSA,2020-09-07,36010782
INCR,2020-09-07,32840643
SGMT,2020-09-07,31954098
JPMX,2020-09-07,20287710
MSPL,2020-09-07,19731400
MLIX,2020-09-07,16370020
EBXL,2020-09-07,13635285
LATS,2020-09-07,10838164
BIDS,2020-09-07,7861305
KCGM,2020-09-07,7701787
MSTX,2020-09-07,7164500
XSTM,2020-09-07,5609693
ITGP,2020-09-07,3772402
PURE,2020-09-07,3733466
JPBX,2020-09-07,3726309
IATS,2020-09-07,3661321
MSRP,2020-09-07,3383669
LQNA,2020-09-07,2669200
ICBX,2020-09-07,2334361
BLKX,2020-09-07,2199790
ONEC,2020-09-07,2010081
CGXS,2020-09-07,1577751
BNPX,2020-09-07,1335515
CODA,2020-09-07,560306
BLUE,2020-09-07,510577
LQNT,2020-09-07,340900
LMNX,2020-09-07,147814
STFX,2020-09-07,7425
IEOS,2020-09-07,1649
UBSA,2020-09-14,36010782
INCR,2020-09-14,32840643
SGMT,2020-09-14,31954098
JPMX,2020-09-14,20287710
MSPL,2020-09-14,19731400
MLIX,2020-09-14,16370020
EBXL,2020-09-14,13635285
LATS,2020-09-14,10838164
BIDS,2020-09-14,7861305
KCGM,2020-09-14,7701787
MSTX,2020-09-14,7164500
XSTM,2020-09-14,5609693
ITGP,2020-09-14,3772402
PURE,2020-09-14,3733466
JPBX,2020-09-14,3726309
IATS,2020-09-14,3661321
MSRP,2020-09-14,3383669
LQNA,2020-09-14,2669200
ICBX,2020-09-14,2334361
BLKX,2020-09-14,2199790
ONEC,2020-09-14,2010081
CGXS,2020-09-14,1577751
BNPX,2020-09-14,1335515
CODA,2020-09-14,560306
BLUE,2020-09-14,510577
LQNT,2020-09-14,340900
LMNX,2020-09-14,147814
STFX,2020-09-14,7425
IEOS,2020-09-14,1649
UBSA,2020-09-21,36010782
INCR,2020-09-21,32840643
SGMT,2020-09-21,31954098
JPMX,2020-09-21,20287710
MSPL,2020-09-21,19731400
MLIX,2020-09-21,16370020
EBXL,2020-09-21,13635285
LATS,2020-09-21,10838164
BIDS,2020-09-21,7861305
KCGM,2020-09-21,7701787
MSTX,2020-09-21,7164500
XSTM,2020-09-21,5609693
ITGP,2020-09-21,3772402
PURE,2020-09-21,3733466
JPBX,2020-09-21,3726309
IATS,2020-09-21,3661321
MSRP,2020-09-21,3383669
LQNA,2020-09-21,2669200
ICBX,2020-09-21,2334361
BLKX,2020-09-21,2199790
ONEC,2020-09-21,2010081
CGXS,2020-09-21,1577751
BNPX,2020-09-21,1335515
CODA,2020-09-21,560306
BLUE,2020-09-21,510577
LQNT,2020-09-21,340900
LMNX,2020-09-21,147814
STFX,2020-09-21,7425
IEOS,2020-09-21,1649
UBSA,2020-09-28,36010782
INCR,2020-09-28,32840643
SGMT,2020-09-28,31954098
JPMX,2020-09-28,20287710
MSPL,2020-09-28,19731400
MLIX,2020-09-28,16370020
EBXL,2020-09-28,13635285
LATS,2020-09-28,10838164
BIDS,2020-09-28,7861305
KCGM,2020-09-28,7701787
MSTX,2020-09-28,7164500
XSTM,2020-09-28,5609693
ITGP,2020-09-28,3772402
PURE,2020-09-28,3733466
JPBX,2020-09-28,3726309
IATS,2020-09-28,3661321
MSRP,2020-09-28,3383669
LQNA,2020-09-28,2669200
ICBX,2020-09-28,2334361
BLKX,2020-09-28,2199790
ONEC,2020-09-28,2010081
CGXS,2020-09-28,1577751
BNPX,2020-09-28,1335515
CODA,2020-09-28,560306
BLUE,2020-09-28,510577
LQNT,2020-09-28,340900
LMNX,2020-09-28,147814
STFX,2020-09-28,7425
IEOS,2020-09-28,1649
UBSA,2020-10-05,36010782
INCR,2020-10-05,32840643
SGMT,2020-10-05,31954098
JPMX,2020-10-05,20287710
MSPL,2020-10-05,19731400
MLIX,2020-10-05,16370020
EBXL,2020-10-05,13635285
LATS,2020-10-05,10838164
BIDS,2020-10-05,7861305
KCGM,2020-10-05,7701787
MSTX,2020-10-05,7164500
XSTM,2020-10-05,5609693
ITGP,2020-10-05,3772402
PURE,2020-10-05,3733466
JPBX,2020-10-05,3726309
IATS,2020-10-05,3661321
MSRP,2020-10-05,3383669
LQNA,2020-10-05,2669200
ICBX,2020-10-05,2334361
BLKX,2020-10-05,2199790
ONEC,2020-10-05,2010081
CGXS,2020-10-05,1577751
BNPX,2020-10-05,1335515
CODA,2020-10-05,560306
BLUE,2020-10-05,510577
LQNT,2020-10-05,340900
LMNX,2020-10-05,147814
STFX,2020-10-05,7425
IEOS,2020-10-05,1649
UBSA,2020-10-12,36010782
INCR,2020-10-12,32840643
SGMT,2020-10-12,31954098
JPMX,2020-10-12,20287710
MSPL,2020-10-12,19731400
MLIX,2020-10-12,16370020
EBXL,2020-10-12,13635285
LATS,2020-10-12,10838164
BIDS,2020-10-12,7861305
KCGM,2020-10-12,7701787
MSTX,2020-10-12,7164500
XSTM,2020-10-12,5609693
ITGP,2020-10-12,3772402
PURE,2020-10-12,3733466
JPBX,2020-10-12,3726309
IATS,2020-10-12,3661321
MSRP,2020-10-12,3383669
LQNA,2020-10-12,2669200
ICBX,2020-10-12,2334361
BLKX,2020-10-12,2199790
ONEC,2020-10-12,2010081
CGXS,2020-10-12,1577751
BNPX,2020-10-12,1335515
CODA,2020-10-12,560306
BLUE,2020-10-12,510577
LQNT,2020-10-12,340900
LMNX,2020-10-12,147814
STFX,2020-10-12,7425
IEOS,2020-10-12,1649
UBSA,2020-10-19,36010782
INCR,2020-10-19,32840643
SGMT,2020-10-19,31954098
JPMX,2020-10-19,20287710
MSPL,2020-10-19,19731400
MLIX,2020-10-19,16370020
EBXL,2020-10-19,13635285
LATS,2020-10-19,10838164
BIDS,2020-10-19,7861305
KCGM,2020-10-19,7701787
MSTX,2020-10-19,7164500
XSTM,2020-10-19,5609693
ITGP,2020-10-19,3772402
PURE,2020-10-19,3733466
JPBX,2020-10-19,3726309
IATS,2020-10-19,3661321
MSRP,2020-10-19,3383669
LQNA,2020-10-19,2669200
ICBX,2020-10-19,2334361
BLKX,2020-10-19,2199790
ONEC,2020-10-19,2010081
CGXS,2020-10-19,1577751
BNPX,2020-10-19,1335515
CODA,2020-10-19,560306
BLUE,2020-10-19,510577
LQNT,2020-10-19,340900
LMNX,2020-10-19,147814
STFX,2020-10-19,7425
IEOS,2020-10-19,1649
UBSA,2020-10-26,36010782
INCR,2020-10-26,32840643
SGMT,2020-10-26,31954098
JPMX,2020-10-26,20287710
MSPL,2020-10-26,19731400
MLIX,2020-10-26,16370020
EBXL,2020-10-26,13635285
LATS,2020-10-26,10838164
BIDS,2020-10-26,7861305
KCGM,2020-10-26,7701787
MSTX,2020-10-26,7164500
XSTM,2020-10-26,5609693
ITGP,2020-10-26,3772402
PURE,2020-10-26,3733466
JPBX,2020-10-26,3726309
IATS,2020-10-26,3661321
MSRP,2020-10-26,3383669
LQNA,2020-10-26,2669200
ICBX,2020-10-26,2334361
BLKX,2020-10-26,2199790
ONEC,2020-10-26,2010081
CGXS,2020-10-26,1577751
BNPX,2020-10-26,1335515
CODA,2020-10-26,560306
BLUE,2020-10-26,510577
LQNT,2020-10-26,340900
LMNX,2020-10-26,147814
STFX,2020-10-26,7425
IEOS,2020-10-26,1649
UBSA,2020-11-02,36010782
INCR,2020-11-02,32840643
SGMT,2020-11-02,31954098
JPMX,2020-11-02,20287710
MSPL,2020-11-02,19731400
MLIX,2020-11-02,16370020
EBXL,2020-11-02,13635285
LATS,2020-11-02,10838164
BIDS,2020-11-02,7861305
KCGM,2020-11-02,7701787
MSTX,2020-11-02,7164500
XSTM,2020-11-02,5609693
ITGP,2020-11-02,3772402
PURE,2020-11-02,3733466
JPBX,2020-11-02,3726309
IATS,2020-11-02,3661321
MSRP,2020-11-02,3383669
LQNA,2020-11-02,2669200
ICBX,2020-11-02,2334361
BLKX,2020-11-02,2199790
ONEC,2020-11-02,2010081
CGXS,2020-11-02,1577751
BNPX,2020-11-02,1335515
CODA,2020-11-02,560306
BLUE,2020-11-02,510577
LQNT,2020-11-02,340900
LMNX,2020-11-02,147814
STFX,2020-11-02,7425
IEOS,2020-11-02,1649
UBSA,2020-11-09,36010782
INCR,2020-11-09,32840643
SGMT,2020-11-09,31954098
JPMX,2020-11-09,20287710
MSPL,2020-11-09,19731400
MLIX,2020-11-09,16370020
EBXL,2020-11-09,13635285
LATS,2020-11-09,10838164
BIDS,2020-11-09,7861305
KCGM,2020-11-09,7701787
MSTX,2020-11-09,7164500
XSTM,2020-11-09,5609693
ITGP,2020-11-09,3772402
PURE,2020-11-09,3733466
JPBX,2020-11-09,3726309
IATS,2020-11-09,3661321
MSRP,2020-11-09,3383669
LQNA,2020-11-09,2669200
ICBX,2020-11-09,2334361
BLKX,2020-11-09,2199790
ONEC,2020-11-09,2010081
CGXS,2020-11-09,1577751
BNPX,2020-11-09,1335515
CODA,2020-11-09,560306
BLUE,2020-11-09,510577
LQNT,2020-11-09,340900
LMNX,2020-11-09,147814
STFX,2020-11-09,7425
IEOS,2020-11-09,1649
UBSA,2020-11-16,36010782
INCR,2020-11-16,32840643
SGMT,2020-11-16,31954098
JPMX,2020-11-16,20287710
MSPL,2020-11-16,19731400
MLIX,2020-11-16,16370020
EBXL,2020-11-16,13635285
LATS,2020-11-16,10838164
BIDS,2020-11-16,7861305
KCGM,2020-11-16,7701787
MSTX,2020-11-16,7164500
XSTM,2020-11-16,5609693
ITGP,2020-11-16,3772402
PURE,2020-11-16,3733466
JPBX,2020-11-16,3726309
IATS,2020-11-16,3661321
MSRP,2020-11-16,3383669
LQNA,2020-11-16,2669200
ICBX,2020-11-16,2334361
BLKX,2020-11-16,2199790
ONEC,2020-11-16,2010081
CGXS,2020-11-16,1577751
BNPX,2020-11-16,1335515
CODA,2020-11-16,560306
BLUE,2020-11-16,510577
LQNT,2020-11-16,340900
LMNX,2020-11-16,147814
STFX,2020-11-16,7425
IEOS,2020-11-16,1649
UBSA,2020-11-23,36010782
INCR,2020-11-23,32840643
SGMT,2020-11-23,31954098
JPMX,2020-11-23,20287710
MSPL,2020-11-23,19731400
MLIX,2020-11-23,16370020
EBXL,2020-11-23,13635285
LATS,2020-11-23,10838164
BIDS,2020-11-23,7861305
KCGM,2020-11-23,7701787
MSTX,2020-11-23,7164500
XSTM,2020-11-23,5609693
ITGP,2020-11-23,3772402
PURE,2020-11-23,3733466
JPBX,2020-11-23,3726309
IATS,2020-11-23,3661321
MSRP,2020-11-23,3383669
LQNA,2020-11-23,2669200
ICBX,2020-11-23,2334361
BLKX,2020-11-23,2199790
ONEC,2020-11-23,2010081
CGXS,2020-11-23,1577751
BNPX,2020-11-23,1335515
CODA,2020-11-23,560306
BLUE,2020-11-23,510577
LQNT,2020-11-23,340900
LMNX,2020-11-23,147814
STFX,2020-11-23,7425
IEOS,2020-11-23,1649
UBSA,2020-11-30,36010782
INCR,2020-11-30,32840643
SGMT,2020-11-30,31954098
JPMX,2020-11-30,20287710
MSPL,2020-11-30,19731400
MLIX,2020-11-30,16370020
EBXL,2020-11-30,13635285
LATS,2020-11-30,10838164
BIDS,2020-11-30,7861305
KCGM,2020-11-30,7701787
MSTX,2020-11-30,7164500
XSTM,2020-11-30,5609693
ITGP,2020-11-30,3772402
PURE,2020-11-30,3733466
JPBX,2020-11-30,3726309
IATS,2020-11-30,3661321
MSRP,2020-11-30,3383669
LQNA,2020-11-30,2669200
ICBX,2020-11-30,2334361
BLKX,2020-11-30,2199790
ONEC,2020-11-30,2010081
CGXS,2020-11-30,1577751
BNPX,2020-11-30,1335515
CODA,2020-11-30,560306
BLUE,2020-11-30,510577
LQNT,2020-11-30,340900
LMNX,2020-11-30,147814
STFX,2020-11-30,7425
IEOS,2020-11-30,1649
UBSA,2020-12-07,36010782
INCR,2020-12-07,32840643
SGMT,2020-12-07,31954098
JPMX,2020-12-07,20287710
MSPL,2020-12-07,19731400
MLIX,2020-12-07,16370020
EBXL,2020-12-07,13635285
LATS,2020-12-07,10838164
BIDS,2020-12-07,7861305
KCGM,2020-12-07,7701787
MSTX,2020-12-07,7164500
XSTM,2020-12-07,5609693
ITGP,2020-12-07,3772402
PURE,2020-12-07,3733466
JPBX,2020-12-07,3726309
IATS,2020-12-07,3661321
MSRP,2020-12-07,3383669
LQNA,2020-12-07,2669200
ICBX,2020-12-07,2334361
BLKX,2020-12-07,2199790
ONEC,2020-12-07,2010081
CGXS,2020-12-07,1577751
BNPX,2020-12-07,1335515
CODA,2020-12-07,560306
BLUE,2020-12-07,510577
LQNT,2020-12-07,340900
LMNX,2020-12-07,147814
STFX,2020-12-07,7425
IEOS,2020-12-07,1649
UBSA,2020-12-14,36010782
INCR,2020-12-14,32840643
SGMT,2020-12-14,31954098
JPMX,2020-12-14,20287710
MSPL,2020-12-14,19731400
MLIX,2020-12-14,16370020
EBXL,2020-12-14,13635285
LATS,2020-12-14,10838164
BIDS,2020-12-14,7861305
KCGM,2020-12-14,7701787
MSTX,2020-12-14,7164500
XSTM,2020-12-14,5609693
ITGP,2020-12-14,3772402
PURE,2020-12-14,3733466
JPBX,2020-12-14,3726309
IATS,2020-12-14,3661321
MSRP,2020-12-14,3383669
LQNA,2020-12-14,2669200
ICBX,2020-12-14,2334361
BLKX,2020-12-14,2199790
ONEC,2020-12-14,2010081
CGXS,2020-12-14,1577751
BNPX,2020-12-14,1335515
CODA,2020-12-14,560306
BLUE,2020-12-14,510577
LQNT,2020-12-14,340900
LMNX,2020-12-14,147814
