ats_id,year,offers_hosted_pool,custom_order_types,market_data_feed_available,internal_trading_allowed,affiliate_access_to_ats,routing_to_affiliate_venue,display_to_persons,subscriber_opt_out_capability,supports_iois,supports_midpoint_orders,supports_post_only_orders,segmentation_supported
MLIX,2024,0,1,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,1,1,1
MLIX,2025,0,1,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,1,1,1
MSPL,2020,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
MSPL,2021,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,No — terms and conditions are not uniform,0,1,1
MSPL,2022,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
MSPL,2023,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are uniform,0,1,0
MSPL,2024,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are uniform,0,1,0
MSPL,2025,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are uniform,0,1,0
MSTX,2020,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
MSTX,2021,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,No — terms and conditions are not uniform,0,1,1
MSTX,2022,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are not uniform,0,1,1
MSTX,2023,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are uniform,0,1,0
MSTX,2024,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are uniform,0,1,0
MSTX,2025,0,0,1,1,1,0,1,Yes — Subscriber can opt out of both the ATS operator and its affiliates,Yes — terms and conditions are uniform,0,1,0
PURE,2021,0,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,0,1,0
PURE,2022,0,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,0,1,0
PURE,2023,0,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,0,1,0
PURE,2024,0,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,0,1,0
PURE,2025,0,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,0,1,0
SGMT,2020,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
SGMT,2021,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
SGMT,2022,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
SGMT,2023,0,1,1,1,1,0,1,Yes — Subscriber can opt out of ATS operator but not affiliates,Yes — terms and conditions are uniform,1,1,1
